27/06/2022 13:23:08.70 [Information] -------------------------------
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ECat_SYS_X44.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ecatms_config.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\KRCAxes.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_SI-M1100-KM126-W0_KSP600-20_380V_V1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_SI-M1100-KM126-W0_KSP600-20_380V_V1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA1AddFct.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\A1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA2.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA2AddFct.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\A2.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_SI-M0640-KM126-W1_KSP600-20_380V_V1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_SI-M0640-KM126-W1_KSP600-20_380V_V1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA3.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA3AddFct.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\A3.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_KO-M0200-KM070-W0_KSP600-9_380V_V1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_KO-M0200-KM070-W0_KSP600-9_380V_V1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA4.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA4AddFct.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\A4.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA5.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA5AddFct.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\A5.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_KO-M0115-KM058-W0_KSP600-9_380V_V1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_KO-M0115-KM058-W0_KSP600-9_380V_V1.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA6.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA6AddFct.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\A6.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Servofile\S_KPP600-67S_380V_32.xml'
27/06/2022 13:23:14.37 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Supply\KPP600-67S_380V_32.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NextGenDriveTech.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\StiffTab.bin'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\DampTab.bin'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\MMAxisAdapter.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\CFCoreWaggonDriverConfig.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\CFCore.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\EAWaggonDriverConfig.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\LDP.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\CabCtrl.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Cabinet\NGSharedO.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\MotionDrivers\MdlCtlDataDrv.ini'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\MotionDrivers\motiondrv.ini'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\CtrlGainTab.bin'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPC\NGDecouple.xml'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\USERPDI.SAF'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SAFEDEV.SAF'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SCTLPARA.SAF'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SCTLINFO.SAF'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SCTLCRC.IMG'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SCTLCRC.XML'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\cell.src'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\CollDetect_UserAction.dat'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\CollDetect_UserAction.src'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\masref_user.dat'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\masref_user.src'
27/06/2022 13:23:14.38 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\$config.dat'
27/06/2022 13:23:14.39 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\bas.src'
27/06/2022 13:23:14.39 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\collmonlib.dat'
27/06/2022 13:23:14.39 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\collmonlib.src'
27/06/2022 13:23:14.40 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\Global_Points.dat'
27/06/2022 13:23:14.40 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\ir_stopm.src'
27/06/2022 13:23:14.41 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\masref_main.dat'
27/06/2022 13:23:14.41 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\masref_main.src'
27/06/2022 13:23:14.42 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\MsgLib.dat'
27/06/2022 13:23:14.42 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\MsgLib.src'
27/06/2022 13:23:14.42 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\sps.sub'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\p00.dat'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\p00.src'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestAxes.dat'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestAxes.src'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestBack.dat'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestBack.src'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestPark.dat'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestPark.src'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestReq.dat'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestReq.src'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestStart.dat'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestStart.src'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\STEU\$config.dat'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\STEU\Mada\$machine.dat'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'KRC:\STEU\Mada\$option.dat'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\AsyncDataToKrl.xml'
