27/06/2022 13:24:51.83 [Information] -------------------------------
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA5AddFct.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\A5.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_KO-M0115-KM058-W0_KSP600-9_380V_V1.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_KO-M0115-KM058-W0_KSP600-9_380V_V1.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA6.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\CtrlA6AddFct.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\A6.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Servofile\S_KPP600-67S_380V_32.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Supply\KPP600-67S_380V_32.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NextGenDriveTech.xml'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\StiffTab.bin'
27/06/2022 13:24:53.30 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\DampTab.bin'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\MMAxisAdapter.xml'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\CFCoreWaggonDriverConfig.xml'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\CFCore.xml'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\EAWaggonDriverConfig.xml'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\LDP.xml'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\CabCtrl.xml'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Cabinet\NGSharedO.xml'
